,Target,Near Distractor,Random 1,Random 2
0,Comb,Brush,Watch,Bracelet
1,Shoe,Sock,Medicine,Telephone
2,Chalk,Crayon,String,Handkerchief
3,Fork,Spoon,Straw,Necklace
4,Cup,Bottle,Soap,Boots
5,Shirt,Hat,Eraser,Bucket
6,Scissors,Knife,Bag,Bib
7,Button,Stone,Stick,Shovel
8,Book,Paper,Jeans,Coat
9,Bowl,Plate,Pants,Scarf
10,Box,Basket,Bottle Cap,Key
11,Shorts,Dress,Clock,Remote Control
12,Ball,Balloon,Earring,Sandal
13,Toothbrush,Toothpaste,Mirror,Bead
14,Sweater,Skirt,Glasses,Toilet Paper
15,Pencil,Pencil Sharpener,Towel,Zipper
